explanation,label,input_size,avg_t,min_t,max_t,std_t,size_in_megabytes
fib_rec,fr,10,0.141367,0.140000,0.200000,0.005926,0.000000
fib_mem,fm,10,0.060430,0.050000,0.090000,0.008958,0.000000
fib_tab,ft,10,0.031320,0.020000,0.110000,0.008868,0.000000
fib_rec,fr,20,19.232484,17.393000,28.644000,2.190659,0.000000
fib_mem,fm,20,0.083922,0.080000,0.240000,0.016549,0.000000
fib_tab,ft,20,0.033344,0.020000,0.070000,0.006541,0.000000
fib_rec,fr,30,2067.006367,2046.915000,2156.032000,12.107468,0.000000
fib_mem,fm,30,0.108867,0.100000,0.141000,0.007686,0.000000
fib_tab,ft,30,0.037359,0.030000,0.071000,0.008206,0.000000
fib_rec,fr,40,253098.518406,248958.272000,266914.045000,2644.139780,0.000000
fib_mem,fm,40,0.144344,0.140000,0.191000,0.008226,0.000000
fib_tab,ft,40,0.047141,0.040000,0.080000,0.006317,0.000000
fib_mem,fm,50,0.169289,0.160000,0.221000,0.006552,0.000000
fib_tab,ft,50,0.036547,0.030000,0.070000,0.006201,0.000000
fib_mem,fm,60,0.221445,0.210000,0.251000,0.006090,0.000000
fib_tab,ft,60,0.040867,0.030000,0.061000,0.003908,0.000000
fib_mem,fm,70,0.252359,0.250000,0.271000,0.004784,0.000000
fib_tab,ft,70,0.042969,0.040000,0.061000,0.005048,0.000000
fib_mem,fm,80,0.286055,0.280000,0.291000,0.005002,0.000000
fib_tab,ft,80,0.045398,0.040000,0.071000,0.006008,0.000000
fib_mem,fm,85,0.303469,0.300000,0.371000,0.007981,0.000000
fib_tab,ft,85,0.046648,0.040000,0.070000,0.005529,0.000000
fib_mem,fm,90,0.351258,0.310000,0.601000,0.047500,0.000000
fib_tab,ft,90,0.063008,0.040000,0.130000,0.012965,0.000000
fib_mem,fm,91,0.389961,0.321000,0.872000,0.064583,0.000000
fib_tab,ft,91,0.065141,0.040000,0.330000,0.026398,0.000000
fib_mem,fm,92,0.335867,0.310000,0.672000,0.045285,0.000000
fib_tab,ft,92,0.061453,0.040000,0.200000,0.018461,0.000000
fib_mem,fm,93,0.340164,0.320000,0.551000,0.036886,0.000000
fib_tab,ft,93,0.067852,0.050000,0.220000,0.016265,0.000000
